bron,titel,datum,indieners,uitslag,voor,tegen,unaniem
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=2/AcM1_Onderzoek_consequenties_loondispensatie.pdf,AcM1 Onderzoek consequenties loondispensatie,17-04-2018,"['50PLUS', 'CU', 'SP', 'OAE']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=3/AcM2_Loondispensatie.pdf,AcM2 Loondispensatie,17-04-2018,"['50PLUS', 'CU', 'SP', 'OAE']",Aangenomen,['vul handmatig in:-1'],['vul handmatig in:-1'],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=4/AcM1_Van_Gogh_Museum_naar_Brabant__D66_.pdf,AcM1 Van Gogh Museum naar Brabant (D66),22-05-2018,['D66'],Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=5/M1_Benchmark_GR_VRBZO_en_ODZOB.pdf,M1 Benchmark GR VRBZO en ODZOB,12-06-2018,"['PvdA', 'GL']",Niet ingediend,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=6/M2_Paraplubestemmingsplan_-_beleidsregels.pdf,M2 Paraplubestemmingsplan - beleidsregels,12-06-2018,"['LPF', 'OAE']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=7/M3_Flexibel_onder_ons_parapluutje.pdf,M3 Flexibel onder ons parapluutje,12-06-2018,['D66'],Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=8/AcM1_Reik_het_jeugdlintje_weer_uit.pdf,AcM1 Reik het jeugdlintje weer uit,12-06-2018,"['CDA', 'LE', '50PLUS', 'DENK', 'VVD', 'PvdA', 'D66', 'GL']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=9/AcM2_Houd_de_straatnaam_Witte_de_With_in_ere.pdf,AcM2 Houd de straatnaam Witte de With in ere,12-06-2018,['LPF'],Verworpen,['vul handmatig in:-1'],['vul handmatig in:-1'],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=10/AcM3_Rachid_komt_moeilijker_aan_een_huis_dan_Jaap.pdf,AcM3 Rachid komt moeilijker aan een huis dan Jaap,12-06-2018,['DENK'],Aangenomen,['vul handmatig in:-1'],['vul handmatig in:-1'],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=11/AcM4_Benchmarks_GR_VRBZO_en_ODZOB.pdf,AcM4 Benchmarks GR VRBZO en ODZOB,12-06-2018,"['CU', 'PvdA', 'OAE', 'GL']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=16/Ingetrokken_motie_M1_wachtlijsten__PvdA__GL__DENK_.pdf,"Ingetrokken motie M1 wachtlijsten (PvdA, GL, DENK)",03-07-2018,[''],Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=17/Ingetrokken_motie_M2_Medisch_verwijzers__PvdA__GL__DENK__VVD_.pdf,"Ingetrokken motie M2 Medisch verwijzers (PvdA, GL, DENK, VVD)",03-07-2018,"['DENK', 'VVD', 'PvdA', 'GL']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=18/Verworpen_motie_M3_Servicebureau__SP__D66_.pdf,"Verworpen motie M3 Servicebureau (SP, D66)",03-07-2018,"['D66', 'SP']",Verworpen,['vul handmatig in:-1'],['vul handmatig in:-1'],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=19/Ingetrokken_motie_M4_Subsidierelaties__SP_.pdf,Ingetrokken motie M4 Subsidierelaties (SP),03-07-2018,['SP'],Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=20/Ingetrokken_motie_M5_Prikkels_Inhoudelijke_Doorontwikkeling__GL__PvdA__DENK_.pdf,"Ingetrokken motie M5 Prikkels Inhoudelijke Doorontwikkeling (GL, PvdA, DENK)",03-07-2018,"['DENK', 'PvdA', 'GL']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=21/Ingetrokken_motie_M6B_Focus_op_Sociale_Basis__CU_.pdf,Ingetrokken motie M6B Focus op Sociale Basis (CU),03-07-2018,['CU'],Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=22/Ingetrokken_motie_M7_Sturen_in_de_mist__CDA_.pdf,Ingetrokken motie M7 Sturen in de mist (CDA),03-07-2018,['CDA'],Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=23/Ingetrokken_motie_M8_KPI_s__CDA_.pdf,Ingetrokken motie M8 KPI's (CDA),03-07-2018,['CDA'],Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=24/Aangehouden_motie_M9_Praktijkondersteuning_jeugd__OAE_.pdf,Aangehouden motie M9 Praktijkondersteuning jeugd (OAE),03-07-2018,['OAE'],Aangehouden,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=25/Verworpen_Amendement_JRA01_Zijn_de_overschrijdingen_terecht__D66_.pdf,Verworpen Amendement JRA01 Zijn de overschrijdingen terecht (D66),03-07-2018,['D66'],Verworpen,['vul handmatig in:-1'],['vul handmatig in:-1'],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=26/Verworpen_motie_JRM01_Geef_de_raad_van_Eindhoven_zijn_Kaderstellende_rol__D66_.pdf,Verworpen motie JRM01 Geef de raad van Eindhoven zijn Kaderstellende rol (D66),03-07-2018,['D66'],Verworpen,['vul handmatig in:-1'],['vul handmatig in:-1'],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=27/Ingetrokken_motie_JRM02_Het_gras_bij_de_buurwijk_is_groener__D66_.pdf,Ingetrokken motie JRM02 Het gras bij de buurwijk is groener (D66),03-07-2018,['D66'],Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=28/Ingetrokken_motie_JRM03A_Investeren_in_de_sociale_basis__D66_.pdf,Ingetrokken motie JRM03A Investeren in de sociale basis (D66),03-07-2018,['D66'],Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=29/Ingetrokken_motie_JRM05A_Op_weg_naar_een_gezonde_organisatie__het_vervolg___PvdA_GroenLinks_DENK_.pdf,Ingetrokken motie JRM05A Op weg naar een gezonde organisatie (het vervolg) (PvdA GroenLinks DENK),03-07-2018,"['DENK', 'PvdA', 'GL']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=30/Ingetrokken_motie_JRM04_WIJeindhoven_meets_innovatie__D66_.pdf,Ingetrokken motie JRM04 WIJeindhoven meets innovatie (D66),03-07-2018,['D66'],Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=31/Aangenomen_motie_JRM06A_Jaarrekening_Bevriezing_FTE_s_gemeentelijke_organisatie__PvdA_.pdf,Aangenomen motie JRM06A Jaarrekening Bevriezing FTE's gemeentelijke organisatie (PvdA),03-07-2018,['PvdA'],Aangenomen,['vul handmatig in:-1'],['vul handmatig in:-1'],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=32/Ingetrokken_motie_JRM07_Monitoren_Hofstraat__CDA__SP__PvdA__DENK__D66_.pdf,"Ingetrokken motie JRM07 Monitoren Hofstraat (CDA, SP, PvdA, DENK, D66)",03-07-2018,"['CDA', 'DENK', 'PvdA', 'D66', 'SP']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=33/Verworpen_motie_JRM09_Kracht_en_hoop__OAE__DENK__LPF_.pdf,"Verworpen motie JRM09 Kracht en hoop (OAE, DENK, LPF)",03-07-2018,"['DENK', 'LPF', 'OAE']",Verworpen,"['GL:7', 'PvdA:6', 'LPF:1', 'LE:1', 'OAE:2', 'DENK:1']","['CDA:6', 'D66:5', '50PLUS:2', 'CU:1', 'VVD:7', 'SP:3']",nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=34/Ingetrokken_motie_JRM10_Rekenkamer_vastgoed__CDA_.pdf,Ingetrokken motie JRM10 Rekenkamer vastgoed (CDA),03-07-2018,['CDA'],Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=35/Ingetrokken_motie_JRM11_Naar_een_goedkeurende_verklaring__CDA_.pdf,Ingetrokken motie JRM11 Naar een goedkeurende verklaring (CDA),03-07-2018,['CDA'],Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=36/Ingetrokken_motie_JRM12_Elk_risico_verdient_waardering__VVD__CDA_.pdf,"Ingetrokken motie JRM12 Elk risico verdient waardering (VVD, CDA)",03-07-2018,"['CDA', 'VVD']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=37/Ingetrokken_motie_JRM13_Tussenbalans_2018__OAE__LPF_.pdf,"Ingetrokken motie JRM13 Tussenbalans 2018 (OAE, LPF)",03-07-2018,"['LPF', 'OAE']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=50/Ingetrokken_motie_M1_Buurtontmoetingsplek_Zuidwest_Stratum__CDA__GL__LPF__LE__DENK__50PLUS__SP__PvdA_.pdf,"Ingetrokken motie M1 Buurtontmoetingsplek Zuidwest Stratum (CDA, GL, LPF, LE, DENK, 50PLUS, SP, PvdA)",28-08-2018,"['50PLUS', 'CDA', 'DENK', 'GL', 'LPF', 'PvdA', 'SP']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=51/Toezegging_wethouder_List_Vragenhalfuur_Passage_Eindhoven_Centraal.pdf,Toezegging wethouder List Vragenhalfuur Passage Eindhoven Centraal,28-08-2018,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=52/Ingetrokken_motie_M1A_VVV-kantoor_zondag__D66__LPF__50_PLUS_.pdf,"Ingetrokken motie M1A VVV-kantoor zondag (D66, LPF, 50 PLUS)",11-09-2018,"['50PLUS', 'D66', 'DENK']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=53/Ingetrokken_motie_M2A_Geen_valse_start_voor_P+R_Genneper_Parken__VVD__D66__LPF__CDA__SP__50PLUS_.pdf,"Ingetrokken motie M2A Geen valse start voor P+R Genneper Parken (VVD, D66, LPF, CDA, SP, 50PLUS)",11-09-2018,"['50PLUS', 'CDA', 'CU', 'D66', 'LE', 'LPF', 'SP', 'VVD']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=54/Aangehouden_motie_M3_Alle_schoolverlaters_een_baan__OAE__DENK__GL_.pdf,"Aangehouden motie M3 Alle schoolverlaters een baan (OAE, DENK, GL)",11-09-2018,"['DENK', 'GL', 'OAE']",Aangehouden,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=55/Aangenomen_actuele_motie_AcM1_afschaffen_dividendbelasting__PvdA__LPF_.pdf,"Aangenomen actuele motie AcM1 afschaffen dividendbelasting (PvdA, LPF)",11-09-2018,"['LPF', 'PvdA']",Aangenomen,"['GL:7', 'PvdA:5', 'LPF:2', '50PLUS:2', 'CU:1', 'OAE:2', 'DENK:1', 'SP:4']","['CDA:6', 'D66:6', 'LE:1', 'VVD:4']",nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=56/Aangenomen_actuele_motie_AcM2_Heldere_communicatie__GL__CDA__PvdA__50PLUS__CU__SP__DENK__OAE__D66__LPF__VVD_.pdf,"Aangenomen actuele motie AcM2 Heldere communicatie (GL, CDA, PvdA, 50PLUS, CU, SP, DENK, OAE, D66, LPF, VVD)",11-09-2018,"['50PLUS', 'CDA', 'CU', 'D66', 'DENK', 'GL', 'LPF', 'OAE', 'PvdA', 'SP', 'VVD']",Aangenomen,['vul handmatig in:-1'],['vul handmatig in:-1'],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=57/Toezegging_wethouder_Steenbakkers_Financi__le_borging_SPIL_beleid_VVE_2019_tot_en_met_2022.pdf,Toezegging wethouder Steenbakkers Financiële borging SPIL beleid VVE 2019 tot en met 2022,11-09-2018,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=58/Toezegging_wethouder_Steenbakkers_Uitvoering_Regio_Deal_Brainport_Eindhoven.pdf,Toezegging wethouder Steenbakkers Uitvoering Regio Deal Brainport Eindhoven,11-09-2018,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=59/Aangenomen_actuele_motie_AcM1_Kinderpardon_Gemeente_Eindhoven__PvdA__SP__GL__OAE__50PLUS__DENK_.pdf,"Aangenomen actuele motie AcM1 Kinderpardon Gemeente Eindhoven (PvdA, SP, GL, OAE, 50PLUS, DENK)",02-10-2018,"['50PLUS', 'DENK', 'GL', 'OAE', 'PvdA', 'SP']",Aangenomen,['vul handmatig in:-1'],['vul handmatig in:-1'],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=60/Ingetrokken_actuele_motie_AcM2_Hou_me_vast_Q_koorts__D66__DENK__50PLUS__GL_.pdf,"Ingetrokken actuele motie AcM2 Hou me vast Q koorts (D66, DENK, 50PLUS, GL)",02-10-2018,"['50PLUS', 'D66', 'DENK', 'GL', 'OAE']",Ingetrokken,[],[],nee
